smiles,name
OCCCCCCCO,"7-carbon diol (alpha,omega)"
OCCCCCCCCO,"8-carbon diol (alpha,omega)"
OCCCCCCCCCO,"9-carbon diol (alpha,omega)"
OCCCCCCCCCCO,"10-carbon diol (alpha,omega)"
OCCCCCCCCCCCO,"11-carbon diol (alpha,omega)"
OCCCCCCCCCCCCO,"12-carbon diol (alpha,omega)"
NCCN,"2-carbon diamine (alpha,omega)"
NCCCN,"3-carbon diamine (alpha,omega)"
NCCCCN,"4-carbon diamine (alpha,omega)"
NCCCCCN,"5-carbon diamine (alpha,omega)"
NCCCCCCN,"6-carbon diamine (alpha,omega)"
NCCCCCCCN,"7-carbon diamine (alpha,omega)"
NCCCCCCCCN,"8-carbon diamine (alpha,omega)"
NCCCCCCCCCN,"9-carbon diamine (alpha,omega)"
NCCCCCCCCCCN,"10-carbon diamine (alpha,omega)"
NCCCCCCCCCCCN,"11-carbon diamine (alpha,omega)"
NCCCCCCCCCCCCN,"12-carbon diamine (alpha,omega)"
O=C(O)C(=O)O,2-carbon dicarboxylic acid
O=C(O)CC(=O)O,3-carbon dicarboxylic acid
O=C(O)CCC(=O)O,4-carbon dicarboxylic acid
O=C(O)CCCC(=O)O,5-carbon dicarboxylic acid
O=C(O)CCCCC(=O)O,6-carbon dicarboxylic acid
O=C(O)CCCCCC(=O)O,7-carbon dicarboxylic acid
O=C(O)CCCCCCC(=O)O,8-carbon dicarboxylic acid
O=C(O)CCCCCCCC(=O)O,9-carbon dicarboxylic acid
O=C(O)CCCCCCCCC(=O)O,10-carbon dicarboxylic acid
O=C(O)CCCCCCCCCC(=O)O,11-carbon dicarboxylic acid
O=C(O)CCCCCCCCCCC(=O)O,12-carbon dicarboxylic acid
C1CCOC1,tetrahydrofuran (THF)
C1COCCO1,"1,4-dioxane"
CCOCCO,diethylene glycol (approx)
CC(=O)OC(C)=O,acetic anhydride
CS(C)(=O)=O,dimethyl sulfone
CS(C)=O,dimethyl sulfoxide (DMSO)
CN(C)C=O,dimethylformamide (DMF)
CCN(CC)CC,triethylamine
CCOC(=O)OCC,diethyl carbonate
O=S(=O)(O)O,sulfuric acid
O=P(O)(O)O,phosphoric acid
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,pipemidic acid
COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,tranilast
CNC(C)Cc1ccccc1OC,methoxyphenamine
C#CCN(C)Cc1ccccc1,pargyline
CCN(CC)CCC(=O)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21,fluacizine
CC1=CC(=O)CC(C(C)C)C1,homocamfin
CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,pyrovalerone
NCC(=O)CCC(=O)O,aminolevulinic acid
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,amoxicillin
